Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
slap,fulfill,concrete-negative,abstract-positive,MaxMismatch
slap,esteem,concrete-negative,abstract-positive,MaxMismatch
slap,justify,concrete-negative,abstract-positive,MaxMismatch
slap,respect,concrete-negative,abstract-positive,MaxMismatch
smack,imagine,concrete-negative,abstract-positive,MaxMismatch
smack,enlighten,concrete-negative,abstract-positive,MaxMismatch
smack,admired,concrete-negative,abstract-positive,MaxMismatch
smack,cherish,concrete-negative,abstract-positive,MaxMismatch
smack,hope,concrete-negative,abstract-positive,MaxMismatch
smack,believe,concrete-negative,abstract-positive,MaxMismatch
smack,fulfill,concrete-negative,abstract-positive,MaxMismatch
smack,esteem,concrete-negative,abstract-positive,MaxMismatch
smack,justify,concrete-negative,abstract-positive,MaxMismatch
smack,respect,concrete-negative,abstract-positive,MaxMismatch
spit,imagine,concrete-negative,abstract-positive,MaxMismatch
spit,enlighten,concrete-negative,abstract-positive,MaxMismatch
spit,admired,concrete-negative,abstract-positive,MaxMismatch
spit,cherish,concrete-negative,abstract-positive,MaxMismatch
spit,hope,concrete-negative,abstract-positive,MaxMismatch
spit,believe,concrete-negative,abstract-positive,MaxMismatch
spit,fulfill,concrete-negative,abstract-positive,MaxMismatch
spit,esteem,concrete-negative,abstract-positive,MaxMismatch
spit,justify,concrete-negative,abstract-positive,MaxMismatch
spit,respect,concrete-negative,abstract-positive,MaxMismatch
stab,imagine,concrete-negative,abstract-positive,MaxMismatch
stab,enlighten,concrete-negative,abstract-positive,MaxMismatch
stab,admired,concrete-negative,abstract-positive,MaxMismatch
stab,cherish,concrete-negative,abstract-positive,MaxMismatch
stab,hope,concrete-negative,abstract-positive,MaxMismatch
stab,believe,concrete-negative,abstract-positive,MaxMismatch
stab,fulfill,concrete-negative,abstract-positive,MaxMismatch
stab,esteem,concrete-negative,abstract-positive,MaxMismatch
stab,justify,concrete-negative,abstract-positive,MaxMismatch
stab,respect,concrete-negative,abstract-positive,MaxMismatch
vomit,imagine,concrete-negative,abstract-positive,MaxMismatch
vomit,enlighten,concrete-negative,abstract-positive,MaxMismatch
vomit,admired,concrete-negative,abstract-positive,MaxMismatch
vomit,cherish,concrete-negative,abstract-positive,MaxMismatch
vomit,hope,concrete-negative,abstract-positive,MaxMismatch
vomit,believe,concrete-negative,abstract-positive,MaxMismatch
vomit,fulfill,concrete-negative,abstract-positive,MaxMismatch
vomit,esteem,concrete-negative,abstract-positive,MaxMismatch
vomit,justify,concrete-negative,abstract-positive,MaxMismatch
vomit,respect,concrete-negative,abstract-positive,MaxMismatch
