Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
sail,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
sail,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
sail,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
smile,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,smile,concrete-positive,concrete-positive,SelfPair,cp-cp
smile,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
smile,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
smile,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
smile,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
